LSOA 2021 Code,LSOA 2021 Name,Total,F50-84,M50-84,MF50-84,F50-84 Percentage of Total LSOA Population,M50-84 Percentage of Total LSOA Population,MF50-84 Percentage of Total LSOA Population
E01020230,Teignbridge 005B,1946,587,491,1078,30.2,25.2,55.4
E01020231,Teignbridge 005C,1661,526,412,938,31.7,24.8,56.5
E01020232,Teignbridge 005D,1945,505,409,914,26.0,21.0,47.0
E01020233,Teignbridge 006B,1970,692,628,1320,35.1,31.9,67.0
E01020234,Teignbridge 006C,1463,362,303,665,24.7,20.7,45.5
E01020235,Teignbridge 006D,1863,536,518,1054,28.8,27.8,56.6
E01020236,Teignbridge 007C,1345,437,393,830,32.5,29.2,61.7
E01020237,Teignbridge 007D,1821,520,440,960,28.6,24.2,52.7
E01020238,Teignbridge 019C,1263,374,308,682,29.6,24.4,54.0
E01020239,Teignbridge 019D,1408,413,360,773,29.3,25.6,54.9
E01020240,Teignbridge 002A,2041,464,428,892,22.7,21.0,43.7
E01020241,Teignbridge 002B,2628,549,507,1056,20.9,19.3,40.2
E01020242,Teignbridge 002C,2166,431,386,817,19.9,17.8,37.7
E01020243,Teignbridge 001A,1303,358,353,711,27.5,27.1,54.6
E01020244,Teignbridge 002D,1475,378,339,717,25.6,23.0,48.6
E01020245,Teignbridge 002E,1713,527,487,1014,30.8,28.4,59.2
E01020246,Teignbridge 018A,1450,376,347,723,25.9,23.9,49.9
E01020247,Teignbridge 018B,1774,432,370,802,24.4,20.9,45.2
E01020248,Teignbridge 018C,1912,550,517,1067,28.8,27.0,55.8
E01020249,Teignbridge 018D,1545,475,435,910,30.7,28.2,58.9
E01020250,Teignbridge 009A,1617,447,396,843,27.6,24.5,52.1
E01020251,Teignbridge 011C,1596,400,370,770,25.1,23.2,48.2
E01020252,Teignbridge 009B,2683,534,441,975,19.9,16.4,36.3
E01020253,Teignbridge 009C,1509,371,315,686,24.6,20.9,45.5
E01020254,Teignbridge 009D,1528,336,329,665,22.0,21.5,43.5
E01020255,Teignbridge 009E,1488,419,351,770,28.2,23.6,51.7
E01020256,Teignbridge 013D,2236,482,398,880,21.6,17.8,39.4
E01020257,Teignbridge 009F,1374,369,298,667,26.9,21.7,48.5
E01020258,Teignbridge 003B,1909,536,525,1061,28.1,27.5,55.6
E01020259,Teignbridge 003C,1345,405,412,817,30.1,30.6,60.7
